time,user,post,dist
1246557896,233095,4,0
1246557936,211827,4,2
1246557956,147725,4,1
1246558082,77863,4,1
1246558214,314190,4,1
1246558274,262660,4,100
1246558360,281734,4,2
1246558406,179966,4,100
1246558412,143317,4,1
1246558482,127771,4,2
1246558522,255793,4,2
1246558554,133378,4,1
1246558644,321735,4,1
1246558650,41314,4,100
1246558659,93874,4,1
1246558660,286870,4,1
1246558675,287433,4,1
1246558727,178139,4,2
1246558733,335404,4,1
1246558744,199941,4,1
1246558765,122629,4,100
1246558769,267754,4,1
1246558797,37176,4,1
1246558868,35478,4,1
1246559028,292258,4,2
1246559137,63501,4,2
1246559214,63066,4,2
1246559216,193821,4,1
1246559242,250596,4,1
1246559272,181274,4,1
1246559544,13360,4,2
1246559620,111274,4,100
1246559632,331563,4,1
1246559655,70227,4,2
1246559712,306195,4,2
1246559742,64845,4,1
1246559806,139498,4,100
1246559851,304322,4,2
1246559895,78675,4,1
1246559902,128512,4,1
1246559994,200313,4,3
1246560004,83820,4,1
1246560511,268840,4,1
1246561367,257465,4,1
1246561675,122474,4,1
1246561838,153769,4,3
1246561903,26240,4,100
1246561933,302110,4,1
1246561995,139027,4,100
1246561997,85363,4,100
1246561999,61115,4,100
1246562037,19183,4,3
1246562045,221211,4,2
1246562092,108752,4,4
1246562140,319848,4,3
1246562149,253029,4,2
1246562190,187620,4,2
1246562208,87393,4,3
1246562237,291195,4,100
1246562244,68160,4,2
1246562244,85653,4,100
1246562260,111219,4,100
1246562270,20806,4,100
1246562276,131885,4,4
1246562288,163656,4,100
1246562291,200126,4,100
1246562297,204046,4,2
1246562341,119333,4,2
1246562360,156031,4,100
1246562380,199929,4,3
1246562416,264902,4,100
1246562431,323695,4,1
1246562443,215057,4,100
1246562452,92202,4,2
1246562469,133539,4,3
1246562476,312497,4,1
1246562485,319770,4,1
1246562489,242903,4,100
1246562490,59974,4,2
1246562565,16255,4,1
1246562650,313544,4,3
1246562674,102282,4,3
1246562682,327065,4,2
1246562716,145903,4,1
1246562763,215390,4,100
1246562776,142750,4,100
1246562813,179981,4,100
1246562850,250541,4,3
1246562872,126559,4,1
1246562872,128388,4,100
1246562923,315853,4,3
1246562930,39871,4,2
1246562937,301134,4,4
1246562948,70725,4,2
1246562961,304108,4,100
1246562965,314628,4,2
1246562996,202535,4,100
1246563021,57587,4,100
1246563027,177329,4,3
1246563034,211994,4,100
1246563038,288786,4,3
1246563074,181,4,2
1246563091,261555,4,100
1246563103,54648,4,100
1246563109,82704,4,100
1246563193,168452,4,100
1246563290,208193,4,100
1246563321,305525,4,5
1246563333,292419,4,100
1246563356,220043,4,2
1246563369,75729,4,1
1246563370,217389,4,1
1246563411,322885,4,100
1246563473,70407,4,4
